location_count,method_count,file_count
0,0,0
4,4,16
0,12,12
9,19,42
2,12,36
0,1,17
0,1,8
0,5,17
0,4,8
9,9,10
3,13,37
0,4,4
0,3,16
0,1,69
0,3,69
9,19,42
0,1,5
0,1,1
0,0,10
0,1,16
3,3,15
2,23,47
4,4,16
23,23,35
9,24,28
3,13,37
0,6,33
4,5,17
1,3,16
1,19,42
2,19,47
1,1,8
3,3,15
0,0,5
0,0,0
1,4,8
1,3,16
0,0,47
0,10,19
0,9,12
0,0,47
0,0,5
4,4,17
8,9,12
0,14,14
4,6,33
1,4,5
0,3,69
3,3,26
4,4,16
2,2,26
0,1,1
0,4,8
3,13,37
0,4,8
0,3,16
0,8,19
0,0,0
4,5,17
0,10,19
0,10,19
0,3,69
0,1,3
0,4,4
4,4,17
0,23,47
0,23,47
0,1,16
3,3,28
0,0,3
0,1,3
0,1,8
4,6,33
6,14,14
1,1,5
0,13,13
3,23,47
9,9,10
0,23,47
3,3,15
4,4,16
0,6,33
3,3,28
11,11,35
0,0,0
3,13,37
15,23,35
4,4,17
4,5,17
0,0,5
1,1,1
0,5,17
0,24,28
0,6,33
1,1,1
0,0,5
0,19,47
0,1,47
1,1,69
1,1,8
0,0,16
0,3,69
4,6,33
1,1,12
1,23,47
0,6,33
0,0,5
4,5,33
3,3,26
4,4,17
6,13,13
0,0,0
0,1,3
1,4,8
2,2,26
0,3,69
0,3,69
0,1,17
4,6,33
5,23,36
4,22,22
3,3,28
8,24,28
7,22,42
7,19,42
6,13,13
6,14,14
17,23,36
15,22,45
15,22,45
19,22,45
19,22,45
1,10,45
1,22,45
12,22,45
12,22,45
8,12,12
3,19,47
3,23,47
5,23,47
3,19,47
4,5,17
4,5,17
4,5,17
4,6,33
4,6,33
4,6,33
4,5,33
4,6,33
10,13,13
8,9,12
9,9,10
11,11,23
11,11,23
11,11,23
11,11,23
10,11,23
10,11,23
9,11,37
5,13,37
2,11,37
5,13,37
10,12,12
3,10,19
3,8,19
3,19,47
3,23,47
3,4,5
6,6,7
10,13,13
11,11,23
10,11,23
11,11,23
10,11,23
10,11,23
10,11,23
6,11,37
9,11,37
19,22,22
9,24,28
7,19,42
7,22,42
6,13,13
6,14,14
11,11,35
23,23,35
19,23,35
17,23,36
15,22,45
15,22,45
19,22,45
19,22,45
5,10,45
5,22,45
12,22,45
12,22,45
8,12,12
0,1,47
0,5,17
0,5,17
0,5,17
0,6,33
0,6,33
0,5,33
0,6,33
0,6,33
1,1,1
0,13,13
0,13,13
0,0,12
1,1,12
8,9,12
9,9,10
1,1,1
11,11,23
10,11,23
10,11,23
11,11,23
10,11,23
10,11,23
3,13,37
0,11,37
1,11,37
3,13,37
19,22,22
9,24,28
7,19,42
7,22,42
6,13,13
6,14,14
19,23,35
11,11,35
23,23,35
17,23,36
15,22,45
15,22,45
19,22,45
19,22,45
5,22,45
5,10,45
12,22,45
12,22,45
19,22,22
7,24,28
9,19,42
1,22,42
6,13,13
6,14,14
6,11,11
11,11,35
19,23,35
23,23,35
9,12,36
17,23,36
15,22,45
15,22,45
19,22,45
19,22,45
7,11,45
7,22,45
12,22,45
12,22,45
2,22,22
4,4,17
4,4,17
4,4,16
4,4,16
2,24,28
2,22,42
2,4,4
17,23,36
2,22,45
2,22,45
2,22,45
2,22,45
2,10,45
2,22,45
9,22,45
8,22,45
19,22,22
7,24,28
9,19,42
6,22,42
2,2,3
6,13,13
2,9,9
6,14,14
5,11,11
11,11,35
23,23,35
15,23,35
9,12,36
17,23,36
15,22,45
15,22,45
19,22,45
19,22,45
7,22,45
7,11,45
12,22,45
12,22,45
19,22,22
7,24,28
1,22,42
9,19,42
6,13,13
6,14,14
6,11,11
11,11,35
19,23,35
23,23,35
17,23,36
9,12,36
15,22,45
15,22,45
19,22,45
19,22,45
7,22,45
7,11,45
12,22,45
12,22,45
19,22,22
9,24,28
7,22,42
7,19,42
6,13,13
6,14,14
11,11,35
23,23,35
19,23,35
17,23,36
15,22,45
15,22,45
19,22,45
19,22,45
5,22,45
5,10,45
12,22,45
12,22,45
19,22,22
2,5,17
1,24,28
2,22,42
2,2,2
7,9,26
9,9,26
3,9,26
4,9,26
9,9,69
7,19,69
7,7,69
3,9,69
3,7,69
4,9,69
9,19,69
3,19,69
4,19,69
7,9,69
4,9,69
9,9,69
6,9,9
6,15,15
13,15,15
2,11,11
9,12,36
5,23,36
3,22,45
3,22,45
5,5,15
5,5,15
19,22,45
19,22,45
3,11,45
3,22,45
9,22,45
9,22,45
8,12,12
0,23,47
3,19,47
0,19,47
0,23,47
6,6,7
10,13,13
8,9,12
9,9,10
11,11,23
10,11,23
11,11,23
10,11,23
10,11,23
10,11,23
9,11,37
3,13,37
6,11,37
2,22,22
4,4,17
4,4,17
4,4,16
4,4,16
2,24,28
2,22,42
2,4,4
17,23,36
2,22,45
2,22,45
2,22,45
2,22,45
2,10,45
2,22,45
9,22,45
8,22,45
19,22,22
0,5,17
1,24,28
1,19,42
6,22,42
7,9,26
9,9,26
4,9,26
3,9,26
4,19,69
7,9,69
9,9,69
7,19,69
3,7,69
9,9,69
4,9,69
4,9,69
7,7,69
3,19,69
9,19,69
3,9,69
6,9,9
13,15,15
6,15,15
1,11,11
2,12,36
5,23,36
3,22,45
3,22,45
5,5,15
5,5,15
19,22,45
19,22,45
3,11,45
3,22,45
6,22,45
9,22,45
1,12,12
3,10,19
3,8,19
3,19,47
3,23,47
4,4,5
6,6,7
10,13,13
0,1,3
2,11,23
11,11,23
2,11,23
11,11,23
0,11,23
0,11,23
0,11,37
1,11,37
0,0,0
19,22,22
7,24,28
9,19,42
6,22,42
2,2,3
6,13,13
2,9,9
6,14,14
5,11,11
15,23,35
23,23,35
11,11,35
17,23,36
9,12,36
15,22,45
15,22,45
19,22,45
19,22,45
7,22,45
7,11,45
12,22,45
12,22,45
19,22,22
7,24,28
9,19,42
6,22,42
2,2,3
6,13,13
2,9,9
6,14,14
5,11,11
23,23,35
11,11,35
15,23,35
9,12,36
17,23,36
15,22,45
15,22,45
19,22,45
19,22,45
7,22,45
7,11,45
12,22,45
12,22,45
8,12,12
3,19,47
3,23,47
5,23,47
3,19,47
4,5,17
4,5,17
4,5,17
4,6,33
4,6,33
4,5,33
4,6,33
4,6,33
10,13,13
8,9,12
9,9,10
11,11,23
11,11,23
11,11,23
11,11,23
10,11,23
10,11,23
9,11,37
5,13,37
2,11,37
5,13,37
19,22,22
14,24,28
6,22,42
9,19,42
4,9,26
3,3,26
9,9,26
0,9,26
5,9,26
2,2,26
0,1,69
1,1,69
0,3,69
9,19,69
4,9,69
9,9,69
4,9,69
4,19,69
0,19,69
0,3,69
9,9,69
1,9,69
0,9,69
1,19,69
6,9,9
13,15,15
6,15,15
1,11,11
5,23,36
2,12,36
15,22,45
15,22,45
5,5,15
5,5,15
19,22,45
19,22,45
7,22,45
7,11,45
9,22,45
9,22,45
8,12,12
0,8,19
0,8,19
0,10,19
0,10,19
2,23,47
5,23,47
1,19,47
2,19,47
6,6,7
10,13,13
8,9,12
9,9,10
11,11,23
10,11,23
11,11,23
10,11,23
10,11,23
10,11,23
9,11,37
6,11,37
3,3,26
19,22,22
2,5,17
1,24,28
2,22,42
2,2,2
9,9,26
3,9,26
7,9,26
4,9,26
3,19,69
3,7,69
9,9,69
7,9,69
9,19,69
4,9,69
7,7,69
7,19,69
9,9,69
4,9,69
4,19,69
3,9,69
6,9,9
13,15,15
6,15,15
2,11,11
5,23,36
9,12,36
3,22,45
3,22,45
5,5,15
5,5,15
19,22,45
19,22,45
3,11,45
3,22,45
9,22,45
9,22,45
8,12,12
3,10,19
3,8,19
3,19,47
3,23,47
3,4,5
6,6,7
10,13,13
11,11,23
10,11,23
11,11,23
10,11,23
10,11,23
10,11,23
9,11,37
6,11,37
8,15,15
0,15,15
19,22,22
2,5,17
1,24,28
2,22,42
2,2,2
7,9,26
9,9,26
4,9,26
3,9,26
4,19,69
9,9,69
7,7,69
9,19,69
3,9,69
7,19,69
7,9,69
3,19,69
3,7,69
9,9,69
4,9,69
4,9,69
6,9,9
13,15,15
6,15,15
2,11,11
5,23,36
9,12,36
3,22,45
3,22,45
5,5,15
5,5,15
19,22,45
19,22,45
3,11,45
3,22,45
9,22,45
9,22,45
4,22,22
8,24,28
3,3,28
7,19,42
7,22,42
6,13,13
6,14,14
17,23,36
15,22,45
15,22,45
19,22,45
19,22,45
1,22,45
1,10,45
12,22,45
12,22,45
19,22,22
7,24,28
6,22,42
9,19,42
6,9,9
6,15,15
13,15,15
2,11,11
17,23,36
9,12,36
15,22,45
15,22,45
19,22,45
19,22,45
7,11,45
7,22,45
9,22,45
9,22,45
19,22,22
9,24,28
7,19,42
7,22,42
6,13,13
6,14,14
11,11,35
19,23,35
23,23,35
17,23,36
15,22,45
15,22,45
19,22,45
19,22,45
5,10,45
5,22,45
12,22,45
12,22,45
19,22,22
9,24,28
7,22,42
7,19,42
6,13,13
6,14,14
23,23,35
19,23,35
11,11,35
17,23,36
15,22,45
15,22,45
19,22,45
19,22,45
5,10,45
5,22,45
12,22,45
12,22,45
0,0,0
8,12,12
0,10,19
0,8,19
0,8,19
0,10,19
2,23,47
1,19,47
5,23,47
2,19,47
6,6,7
10,13,13
8,9,12
9,9,10
10,11,23
11,11,23
10,11,23
11,11,23
10,11,23
10,11,23
6,11,37
9,11,37
19,22,22
7,24,28
9,19,42
6,22,42
6,9,9
13,15,15
6,15,15
5,11,11
17,23,36
9,12,36
15,22,45
15,22,45
5,5,15
5,5,15
3,3,15
19,22,45
19,22,45
7,22,45
7,11,45
9,22,45
9,22,45
8,12,12
3,23,47
3,23,47
3,19,47
3,19,47
4,5,17
4,5,17
4,5,17
0,0,7
4,5,33
4,6,33
4,6,33
4,6,33
4,6,33
10,13,13
8,9,12
9,9,10
10,11,23
11,11,23
11,11,23
10,11,23
10,11,23
10,11,23
3,13,37
9,11,37
6,11,37
10,12,12
3,10,19
3,8,19
3,19,47
3,23,47
3,4,5
6,6,7
10,13,13
10,11,23
11,11,23
11,11,23
10,11,23
10,11,23
10,11,23
9,11,37
6,11,37
8,12,12
5,23,47
3,19,47
3,23,47
3,19,47
4,5,17
4,5,17
4,5,17
4,5,33
4,6,33
4,6,33
4,6,33
4,6,33
10,13,13
8,9,12
9,9,10
11,11,23
10,11,23
11,11,23
10,11,23
10,11,23
10,11,23
9,11,37
5,13,37
2,11,37
5,13,37
2,22,22
4,4,17
4,4,17
4,4,16
4,4,16
2,24,28
2,22,42
2,4,4
17,23,36
2,22,45
2,22,45
2,22,45
2,22,45
2,22,45
2,10,45
9,22,45
8,22,45
19,22,22
9,24,28
7,19,42
7,22,42
6,13,13
6,14,14
19,23,35
23,23,35
11,11,35
17,23,36
15,22,45
15,22,45
19,22,45
19,22,45
5,10,45
5,22,45
12,22,45
12,22,45
