location_count,method_count,file_count
5,5,5
0,9,9
1,6,20
1,9,9
0,31,49
0,0,16
0,0,165
0,0,65
0,2,65
0,51,87
1,6,20
1,8,16
2,15,65
0,0,0
0,15,165
0,0,16
4,7,16
4,10,47
2,3,16
0,1,16
1,15,65
0,2,65
1,1,47
3,3,3
0,1,16
0,0,65
0,15,65
0,51,87
0,9,9
1,1,47
4,7,16
1,14,165
1,9,9
0,9,9
0,14,165
2,2,7
1,6,20
0,1,16
7,31,49
4,7,16
1,9,9
0,0,0
0,1,16
2,3,16
2,8,16
0,10,47
0,2,65
0,2,65
0,14,165
1,8,16
3,8,16
6,13,47
3,3,49
0,9,9
3,3,3
0,1,1
1,9,9
0,15,165
1,13,165
2,3,16
0,9,9
0,51,87
3,8,16
2,10,47
0,15,65
0,31,49
3,10,47
0,51,87
3,3,3
4,7,16
0,9,9
0,2,65
1,15,165
3,8,16
1,3,16
2,31,49
2,7,16
1,3,16
0,0,165
2,8,16
2,7,16
2,2,2
2,2,7
2,7,16
1,14,165
12,12,12
12,12,12
4,15,165
4,5,165
4,12,165
3,13,165
4,5,165
3,12,165
4,5,165
4,25,165
4,25,165
3,14,165
4,14,165
5,12,165
11,51,87
8,12,87
4,5,87
11,51,87
11,51,87
11,51,87
5,9,87
5,25,25
5,25,25
4,12,84
4,12,84
4,25,84
4,12,84
5,25,84
4,12,84
12,12,12
4,6,20
4,6,20
4,6,20
11,12,12
6,6,6
1,2,65
1,13,65
1,6,65
1,2,65
2,15,65
6,15,65
1,1,65
1,2,65
1,13,65
1,2,65
1,2,65
1,15,65
1,6,49
7,31,49
7,31,49
6,31,49
3,3,49
6,31,49
1,6,49
1,8,8
1,8,8
5,10,47
4,6,47
4,6,47
4,6,47
6,13,47
5,13,47
2,2,2
2,2,7
2,2,7
1,1,7
2,6,6
6,6,6
2,15,65
1,2,65
1,1,65
1,13,65
1,2,65
1,15,65
1,2,65
1,2,65
1,13,65
1,2,65
6,15,65
1,6,65
7,31,49
7,31,49
1,6,49
6,31,49
1,6,49
3,3,49
6,31,49
1,8,8
1,8,8
6,13,47
4,6,47
4,6,47
5,10,47
5,13,47
4,6,47
2,2,2
2,2,7
2,2,7
1,1,7
2,6,6
12,12,12
12,12,12
4,6,165
6,12,165
4,25,165
4,6,165
4,14,165
4,6,165
4,14,165
4,12,165
4,15,165
4,12,165
5,25,165
4,13,165
11,51,87
11,51,87
11,51,87
8,12,87
3,9,87
3,6,87
11,51,87
6,25,25
6,25,25
6,25,84
4,12,84
4,6,84
4,25,84
4,12,84
4,12,84
4,12,84
12,12,12
11,12,12
12,12,12
12,12,12
4,14,165
6,12,165
4,6,165
4,15,165
4,12,165
4,6,165
4,6,165
4,25,165
4,14,165
4,13,165
4,25,165
4,12,165
11,51,87
11,51,87
11,51,87
1,6,87
11,51,87
1,12,87
6,25,25
6,25,25
4,12,84
4,25,84
4,12,84
4,12,84
4,12,84
4,6,84
6,25,84
12,12,12
11,12,12
12,12,12
12,12,12
6,12,165
0,25,165
0,13,165
0,15,165
0,14,165
0,6,165
0,6,165
0,12,165
4,25,165
0,14,165
0,12,165
0,6,165
1,6,87
11,51,87
11,51,87
11,51,87
11,51,87
1,12,87
6,25,25
6,25,25
1,12,84
1,12,84
6,25,84
1,12,84
1,25,84
1,6,84
1,12,84
12,12,12
11,12,12
12,12,12
12,12,12
4,25,165
4,15,165
4,14,165
5,25,165
4,13,165
6,12,165
4,6,165
4,12,165
4,12,165
4,6,165
4,14,165
4,6,165
11,51,87
11,51,87
3,9,87
11,51,87
8,12,87
11,51,87
3,6,87
6,25,25
6,25,25
4,12,84
4,12,84
4,6,84
6,25,84
4,12,84
4,12,84
4,25,84
12,12,12
11,12,12
12,12,12
12,12,12
4,14,165
5,25,165
4,14,165
4,12,165
4,13,165
4,25,165
4,6,165
4,15,165
6,12,165
4,12,165
4,6,165
4,6,165
11,51,87
11,51,87
11,51,87
11,51,87
3,9,87
3,6,87
8,12,87
6,25,25
6,25,25
4,12,84
4,12,84
4,12,84
4,25,84
4,6,84
4,12,84
6,25,84
12,12,12
11,12,12
12,12,12
12,12,12
3,13,165
4,14,165
4,5,165
4,25,165
4,5,165
3,12,165
4,5,165
3,14,165
5,12,165
4,15,165
4,12,165
4,25,165
11,51,87
11,51,87
11,51,87
8,12,87
5,9,87
4,5,87
11,51,87
5,25,25
5,25,25
4,12,84
4,25,84
4,12,84
5,25,84
4,12,84
4,12,84
12,12,12
4,6,20
4,6,20
4,6,20
11,12,12
12,12,12
12,12,12
3,14,165
4,12,165
4,5,165
4,5,165
4,14,165
4,5,165
4,25,165
5,12,165
3,13,165
3,12,165
4,25,165
4,15,165
11,51,87
11,51,87
4,5,87
11,51,87
5,9,87
8,12,87
11,51,87
5,25,25
5,25,25
4,12,84
4,25,84
5,25,84
4,12,84
4,12,84
4,12,84
12,12,12
4,6,20
4,6,20
4,6,20
11,12,12
12,12,12
12,12,12
4,14,165
4,6,165
4,6,165
4,15,165
4,12,165
4,25,165
4,6,165
4,13,165
6,12,165
5,25,165
4,14,165
4,12,165
8,12,87
3,6,87
3,9,87
11,51,87
11,51,87
11,51,87
11,51,87
6,25,25
6,25,25
4,6,84
4,12,84
4,12,84
6,25,84
4,12,84
4,25,84
4,12,84
12,12,12
11,12,12
1,1,1
1,1,1
12,12,12
12,12,12
4,5,165
4,12,165
3,12,165
4,5,165
4,25,165
5,12,165
4,14,165
4,15,165
3,14,165
4,5,165
4,25,165
3,13,165
4,5,87
11,51,87
11,51,87
11,51,87
8,12,87
11,51,87
5,9,87
5,25,25
5,25,25
5,25,84
4,12,84
4,25,84
4,12,84
4,12,84
4,12,84
12,12,12
4,6,20
4,6,20
4,6,20
11,12,12
0,0,0
0,0,0
0,0,11
0,0,11
