location_count,method_count,file_count
5,17,17
11,11,35
0,0,19
19,19,32
1,1,3
1,38,38
9,37,39
11,11,35
9,19,32
9,19,114
23,37,39
0,0,0
23,37,39
11,11,35
0,0,1
0,1,39
11,11,35
1,1,34
4,12,134
9,38,38
0,19,57
4,12,134
9,24,134
0,0,0
16,16,136
11,11,35
20,23,23
9,11,32
11,11,42
1,21,34
9,21,136
1,21,34
11,11,23
9,37,39
11,11,23
0,0,10
1,21,136
2,19,58
2,22,134
6,7,84
7,7,7
0,1,39
0,0,32
1,38,38
20,23,23
26,38,38
9,24,134
0,23,23
0,1,3
11,11,42
2,9,10
2,24,134
10,12,12
0,0,1
2,33,134
6,7,84
20,23,23
0,0,0
11,11,11
0,1,39
7,9,10
0,18,136
11,11,35
3,3,84
11,19,58
0,19,84
0,0,0
11,38,38
11,11,35
0,0,8
9,21,136
0,1,1
1,1,3
9,21,136
3,3,22
0,1,3
0,0,84
0,0,0
0,17,17
0,9,84
4,12,134
4,12,134
7,7,7
11,11,35
9,21,136
11,11,35
6,47,47
11,47,47
8,9,10
9,18,79
9,18,79
9,18,79
9,18,79
4,18,84
4,18,84
6,7,84
4,19,84
16,16,136
5,18,136
5,18,136
5,18,136
9,21,136
6,37,39
6,37,39
23,37,39
23,37,39
20,23,23
20,23,23
7,7,7
6,17,18
6,19,58
6,19,58
6,18,58
12,13,17
17,17,17
10,47,47
11,47,47
6,18,114
6,19,114
6,18,114
6,18,114
6,17,114
6,18,114
18,18,22
4,12,134
4,12,134
6,26,134
24,26,134
11,12,134
11,12,134
18,26,34
17,17,67
8,18,67
8,18,67
9,38,38
11,38,38
6,19,58
6,19,58
6,18,58
6,19,57
6,18,57
6,18,57
6,21,34
6,37,113
6,37,113
15,17,113
6,37,113
6,37,113
13,17,113
6,7,23
6,7,23
6,7,23
18,18,42
5,17,17
17,18,37
17,17,37
17,18,37
17,17,37
6,17,117
17,29,117
6,17,117
17,29,117
6,18,19
17,17,17
7,7,7
5,7,7
3,23,23
5,23,23
5,23,23
3,23,23
5,23,23
1,23,23
5,23,23
3,23,23
5,23,23
5,23,23
5,23,23
3,23,23
1,1,1
1,1,1
1,3,3
1,3,3
1,1,1
1,1,1
1,5,5
1,5,5
1,5,5
1,1,1
1,1,1
1,9,9
1,9,9
1,9,9
1,9,9
1,9,9
3,11,13
1,11,13
1,1,13
1,11,13
1,11,13
3,11,13
11,11,13
1,1,5
3,3,5
3,3,5
1,1,1
1,5,15
7,7,15
5,7,15
1,1,15
1,5,15
5,7,15
1,5,15
7,7,15
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
3,3,79
3,3,25
3,3,3
0,3,84
3,3,7
3,3,7
3,3,3
3,3,3
3,3,8
3,3,8
12,13,17
3,3,17
3,3,3
3,3,3
3,3,3
3,3,3
3,3,34
18,26,34
3,3,34
8,26,34
3,3,3
3,3,11
3,3,11
3,3,11
3,3,7
3,3,7
9,19,58
26,38,38
1,9,10
18,18,79
10,10,21
0,18,84
0,18,136
10,37,39
11,11,11
10,17,17
1,19,114
3,18,114
6,33,134
2,22,134
1,12,12
8,18,67
1,10,67
1,18,57
11,11,35
11,11,35
9,21,34
9,10,34
1,37,113
1,17,113
11,11,42
11,11,23
10,17,17
10,29,117
10,17,117
10,10,117
10,18,19
17,17,17
1,47,47
1,47,47
10,18,79
11,18,79
10,18,79
10,18,79
10,10,10
10,10,25
10,10,25
10,10,10
10,10,10
10,10,21
10,10,21
3,18,84
3,9,84
3,18,84
3,19,84
9,11,32
9,19,32
19,19,32
10,10,10
16,16,136
7,18,136
3,9,136
7,18,136
3,9,136
3,9,136
3,18,136
3,9,136
8,21,136
10,37,39
10,37,39
27,37,39
27,37,39
11,11,11
9,17,18
11,19,58
9,19,58
8,18,58
10,17,17
19,47,47
19,47,47
8,18,114
8,18,114
8,18,114
9,19,114
10,17,114
8,18,114
8,18,22
9,24,134
31,33,134
8,33,134
9,24,134
8,33,134
20,22,134
15,26,134
8,22,134
22,26,34
10,12,12
7,18,67
8,10,67
17,17,67
7,18,67
26,38,38
26,38,38
8,18,58
8,19,58
9,19,58
9,10,10
8,19,57
8,18,57
8,18,57
11,11,35
11,11,35
11,11,35
11,11,35
11,11,35
11,11,35
11,11,35
11,11,35
11,11,35
9,21,34
9,10,34
8,37,113
8,37,113
8,37,113
8,37,113
15,17,113
15,17,113
18,18,42
11,11,42
11,11,42
11,11,23
11,11,23
10,17,17
17,17,37
17,18,37
17,18,37
17,17,37
10,10,117
10,17,117
16,29,117
16,29,117
10,29,117
10,17,117
10,29,117
10,10,117
10,18,19
17,17,17
10,18,79
10,18,79
10,18,79
11,18,79
10,10,10
10,10,25
10,10,25
10,10,10
10,10,10
10,10,21
10,10,21
1,18,84
1,19,84
1,9,84
1,18,84
19,19,32
9,19,32
9,11,32
10,10,10
6,9,136
7,18,136
6,18,136
7,18,136
6,9,136
7,21,136
6,9,136
6,9,136
10,37,39
10,37,39
27,37,39
27,37,39
11,11,11
9,17,18
9,19,58
11,19,58
8,18,58
10,17,17
19,47,47
19,47,47
8,18,114
8,18,114
8,18,114
9,19,114
8,18,114
10,17,114
8,18,22
8,22,134
9,24,134
8,33,134
9,24,134
15,26,134
8,33,134
20,22,134
31,33,134
22,26,34
10,12,12
8,10,67
17,17,67
7,18,67
7,18,67
26,38,38
26,38,38
8,18,58
8,19,58
9,19,58
9,10,10
8,18,57
8,18,57
8,19,57
11,11,35
11,11,35
11,11,35
11,11,35
11,11,35
11,11,35
11,11,35
11,11,35
11,11,35
9,21,34
9,10,34
8,37,113
8,37,113
8,37,113
15,17,113
8,37,113
15,17,113
11,11,42
11,11,42
18,18,42
11,11,23
11,11,23
10,17,17
17,17,37
17,18,37
17,17,37
17,18,37
10,10,117
10,17,117
10,17,117
16,29,117
16,29,117
10,10,117
10,29,117
10,29,117
10,18,19
17,17,17
10,18,79
11,18,79
10,18,79
10,18,79
10,10,10
10,10,25
10,10,25
10,10,10
10,10,10
10,10,21
10,10,21
1,19,84
1,18,84
1,18,84
1,9,84
9,19,32
9,11,32
19,19,32
10,10,10
7,18,136
6,9,136
6,18,136
7,18,136
6,9,136
6,9,136
6,9,136
7,21,136
10,37,39
10,37,39
27,37,39
27,37,39
11,11,11
9,17,18
8,18,58
9,19,58
11,19,58
10,17,17
19,47,47
19,47,47
8,18,114
8,18,114
9,19,114
10,17,114
8,18,114
8,18,114
8,18,22
8,33,134
9,24,134
9,24,134
8,22,134
8,33,134
20,22,134
31,33,134
15,26,134
22,26,34
10,12,12
17,17,67
8,10,67
7,18,67
7,18,67
26,38,38
26,38,38
8,18,58
9,19,58
8,19,58
9,10,10
8,18,57
8,18,57
8,19,57
11,11,35
11,11,35
11,11,35
11,11,35
11,11,35
11,11,35
11,11,35
11,11,35
11,11,35
9,10,34
9,21,34
15,17,113
15,17,113
8,37,113
8,37,113
8,37,113
8,37,113
11,11,42
11,11,42
18,18,42
11,11,23
11,11,23
10,17,17
17,18,37
17,17,37
17,18,37
17,17,37
10,10,117
16,29,117
16,29,117
10,17,117
10,10,117
10,29,117
10,17,117
10,29,117
10,18,19
17,17,17
1,47,47
2,47,47
1,47,47
2,47,47
8,9,10
9,18,79
9,18,79
9,18,79
9,18,79
4,18,84
4,18,84
4,19,84
6,7,84
9,21,136
5,18,136
5,18,136
5,18,136
16,16,136
6,37,39
6,37,39
9,37,39
9,37,39
20,23,23
20,23,23
7,7,7
6,17,18
6,18,58
6,19,58
6,19,58
12,13,17
17,17,17
10,47,47
11,47,47
6,18,114
6,18,114
6,19,114
6,18,114
6,17,114
6,18,114
18,18,22
11,12,134
24,26,134
6,26,134
4,12,134
11,12,134
4,12,134
18,26,34
8,18,67
8,18,67
17,17,67
9,38,38
11,38,38
6,19,58
6,19,58
6,18,58
6,18,57
6,18,57
6,19,57
6,21,34
6,37,113
6,37,113
6,37,113
15,17,113
13,17,113
6,37,113
6,7,23
6,7,23
6,7,23
18,18,42
5,17,17
17,18,37
17,17,37
17,17,37
17,18,37
17,29,117
6,17,117
17,29,117
6,17,117
6,18,19
17,17,17
7,7,7
5,7,7
19,47,47
19,47,47
11,18,79
10,18,79
10,18,79
10,18,79
10,10,10
10,10,25
10,10,25
10,10,10
10,10,10
10,10,21
10,10,21
3,19,84
3,9,84
3,18,84
3,18,84
19,19,32
9,19,32
9,11,32
10,10,10
7,9,136
8,21,136
7,18,136
7,9,136
7,9,136
16,16,136
7,18,136
7,9,136
7,18,136
10,37,39
10,37,39
27,37,39
27,37,39
11,11,11
9,17,18
11,19,58
9,19,58
8,18,58
10,17,17
19,47,47
19,47,47
8,18,114
8,18,114
8,18,114
8,18,114
10,17,114
9,19,114
8,18,22
9,24,134
20,22,134
15,26,134
8,33,134
8,33,134
8,22,134
9,24,134
31,33,134
22,26,34
10,12,12
7,18,67
7,18,67
8,10,67
17,17,67
26,38,38
26,38,38
8,19,58
9,19,58
8,18,58
9,10,10
8,19,57
8,18,57
8,18,57
11,11,35
11,11,35
11,11,35
11,11,35
11,11,35
11,11,35
11,11,35
11,11,35
11,11,35
9,10,34
9,21,34
15,17,113
8,37,113
8,37,113
15,17,113
8,37,113
8,37,113
18,18,42
11,11,42
11,11,42
11,11,23
11,11,23
10,17,17
17,17,37
17,18,37
17,18,37
17,17,37
10,17,117
10,10,117
10,17,117
16,29,117
10,29,117
10,10,117
16,29,117
10,29,117
10,18,19
17,17,17
10,18,79
10,18,79
3,3,79
10,18,79
11,18,79
10,10,10
3,3,25
10,10,25
10,10,25
10,10,10
10,10,10
3,3,3
10,10,21
10,10,21
2,18,84
2,9,84
2,3,84
2,18,84
3,3,84
2,19,84
3,3,7
3,3,7
9,19,32
19,19,32
9,11,32
10,10,10
0,21,136
0,18,136
0,18,136
16,16,136
3,3,3
3,3,3
3,3,8
3,3,8
10,37,39
10,37,39
27,37,39
27,37,39
11,11,11
0,0,18
0,1,1
8,18,58
9,19,58
11,19,58
3,3,17
11,13,17
3,3,3
10,17,17
3,3,3
3,3,3
19,47,47
19,47,47
8,18,114
8,18,114
10,18,114
8,18,114
9,19,114
10,17,114
8,18,22
3,3,22
8,33,134
8,22,134
9,24,134
31,33,134
15,26,134
8,33,134
9,24,134
20,22,134
3,3,3
3,3,34
8,26,34
18,26,34
22,26,34
3,3,34
10,12,12
0,18,67
8,10,67
17,17,67
0,18,67
26,38,38
26,38,38
30,38,38
9,19,58
8,19,58
8,18,58
0,10,10
8,18,57
8,18,57
8,19,57
11,11,35
11,11,35
11,11,35
11,11,35
11,11,35
11,11,35
11,11,35
11,11,35
11,11,35
1,1,34
1,21,34
1,21,34
0,10,34
3,3,3
8,37,113
8,37,113
8,37,113
9,17,113
8,37,113
15,17,113
18,18,42
11,11,42
11,11,42
11,11,23
11,11,23
10,17,17
3,3,11
3,3,11
3,3,11
17,17,37
17,18,37
3,3,7
3,3,7
17,17,37
17,18,37
10,17,117
10,10,117
16,29,117
10,10,117
10,29,117
16,29,117
10,17,117
10,29,117
10,18,19
17,17,17
10,18,79
11,18,79
10,18,79
10,18,79
10,10,10
10,10,25
10,10,25
10,10,10
10,10,10
10,10,21
10,10,21
3,19,84
3,18,84
3,18,84
3,9,84
9,11,32
9,19,32
19,19,32
10,10,10
7,9,136
7,9,136
7,18,136
7,9,136
16,16,136
7,18,136
7,9,136
8,21,136
7,18,136
10,37,39
10,37,39
27,37,39
27,37,39
11,11,11
9,17,18
9,19,58
11,19,58
8,18,58
10,17,17
19,47,47
19,47,47
8,18,114
9,19,114
8,18,114
10,17,114
8,18,114
8,18,114
8,18,22
15,26,134
9,24,134
8,22,134
8,33,134
20,22,134
8,33,134
9,24,134
31,33,134
22,26,34
10,12,12
7,18,67
17,17,67
8,10,67
7,18,67
26,38,38
26,38,38
9,19,58
8,19,58
8,18,58
9,10,10
8,19,57
8,18,57
8,18,57
11,11,35
11,11,35
11,11,35
11,11,35
11,11,35
11,11,35
11,11,35
11,11,35
11,11,35
9,21,34
9,10,34
8,37,113
8,37,113
15,17,113
8,37,113
15,17,113
8,37,113
18,18,42
11,11,42
11,11,42
11,11,23
11,11,23
10,17,17
17,17,37
17,18,37
17,18,37
17,17,37
10,29,117
10,17,117
10,29,117
16,29,117
16,29,117
10,17,117
10,10,117
10,10,117
10,18,19
17,17,17
8,9,10
9,18,79
9,18,79
9,18,79
9,18,79
0,18,84
0,7,84
0,19,84
0,18,84
9,21,136
16,16,136
5,18,136
0,18,136
5,18,136
6,37,39
6,37,39
9,37,39
9,37,39
20,23,23
20,23,23
7,7,7
6,17,18
6,18,58
6,19,58
6,19,58
12,13,17
17,17,17
6,18,114
6,19,114
6,18,114
6,18,114
6,18,114
6,17,114
18,18,22
11,12,134
24,26,134
6,26,134
11,12,134
18,26,34
8,18,67
17,17,67
8,18,67
6,18,58
6,19,58
6,19,58
6,19,57
6,18,57
6,18,57
6,21,34
13,17,113
15,17,113
6,37,113
6,37,113
6,37,113
6,37,113
6,7,23
6,7,23
6,7,23
18,18,42
17,18,37
17,17,37
17,17,37
17,18,37
6,17,117
17,29,117
17,29,117
6,17,117
6,18,19
17,17,17
7,7,7
5,7,7
24,38,38
3,23,23
5,23,23
5,23,23
3,23,23
1,23,23
5,23,23
5,23,23
5,23,23
5,23,23
3,23,23
5,23,23
3,23,23
1,1,1
1,1,1
1,3,3
1,3,3
1,1,1
1,1,1
1,5,5
1,5,5
1,5,5
1,1,1
1,1,1
1,9,9
1,9,9
1,9,9
1,9,9
1,9,9
1,11,13
11,11,13
3,11,13
1,1,13
1,11,13
3,11,13
1,11,13
3,3,5
3,3,5
1,1,5
1,1,1
1,1,15
5,7,15
1,5,15
7,7,15
5,7,15
1,5,15
7,7,15
1,5,15
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
10,18,79
10,18,79
10,18,79
3,3,79
11,18,79
10,10,10
10,10,25
10,10,25
3,3,25
10,10,10
10,10,10
3,3,3
10,10,21
10,10,21
2,19,84
2,18,84
2,9,84
3,3,84
2,3,84
2,18,84
3,3,7
3,3,7
19,19,32
9,19,32
9,11,32
10,10,10
6,9,136
6,9,136
6,9,136
6,18,136
7,21,136
7,18,136
7,18,136
6,9,136
3,3,3
3,3,3
3,3,8
3,3,8
10,37,39
10,37,39
27,37,39
27,37,39
11,11,11
9,17,18
9,19,58
8,18,58
11,19,58
