location_count,method_count,file_count
22,47,47
2,3,24
0,17,162
3,8,28
1,24,162
0,0,0
8,37,83
3,5,5
5,7,11
1,4,80
6,27,27
5,7,11
3,3,35
2,5,5
1,12,12
8,8,191
9,30,45
12,31,35
1,1,83
1,11,49
7,23,191
0,19,82
0,2,13
0,23,23
0,30,45
7,23,191
4,21,23
9,10,13
0,4,80
6,27,27
1,2,12
19,25,50
1,3,49
0,1,67
1,3,49
23,71,71
0,2,2
1,3,49
8,8,191
2,25,50
3,17,162
0,3,83
5,39,67
11,11,32
1,25,50
5,39,67
0,24,80
0,9,21
20,40,92
1,47,47
16,31,35
1,7,7
15,31,35
10,27,27
13,14,14
1,1,1
1,3,49
3,5,5
1,12,12
23,71,71
0,8,28
3,8,28
25,27,80
1,3,11
1,11,49
19,24,50
8,8,191
1,7,7
0,3,24
1,11,49
3,13,32
0,24,80
1,11,49
1,22,162
15,31,35
1,25,50
3,3,35
5,7,11
22,27,80
10,27,27
3,13,32
2,3,24
3,5,5
18,58,191
1,58,191
2,58,191
7,39,191
1,58,191
7,39,191
4,8,191
5,15,32
12,30,45
2,14,45
2,30,45
4,21,23
11,21,23
5,7,11
5,7,11
1,3,11
5,7,11
2,11,20
2,5,20
2,11,20
2,11,20
2,2,20
2,5,20
2,11,20
3,24,162
2,22,162
2,14,162
2,16,162
2,51,162
2,24,162
2,51,162
50,51,162
2,17,162
2,51,162
2,5,162
3,17,162
2,51,162
3,10,25
2,3,25
2,6,25
5,10,25
2,10,25
2,3,25
4,6,25
10,19,82
10,37,82
10,37,82
0,0,12
0,37,83
0,10,83
0,3,83
9,9,9
1,39,67
0,39,67
12,15,67
14,15,67
2,5,49
2,5,49
12,71,71
10,71,71
12,86,86
25,86,86
10,86,86
14,31,35
1,17,191
1,3,191
1,3,191
18,58,191
7,13,32
1,14,45
1,30,45
1,19,82
2,37,82
1,37,82
1,11,83
1,37,83
1,11,83
2,37,83
1,37,83
5,37,83
1,7,7
6,27,27
5,27,27
6,27,27
1,39,67
5,39,67
3,71,71
12,71,71
12,86,86
15,86,86
3,86,86
12,31,35
1,8,8
0,0,0
6,58,191
6,58,191
1,8,191
18,58,191
5,39,191
2,58,191
5,39,191
3,15,32
9,30,45
12,30,45
1,30,45
1,14,45
10,21,23
1,7,11
1,3,11
3,22,162
1,51,162
0,5,162
3,16,162
3,24,162
3,14,162
1,51,162
1,51,162
3,24,162
38,51,162
1,5,162
1,51,162
3,6,25
4,10,25
2,10,25
2,3,25
2,3,25
5,10,25
2,6,25
1,1,3
1,1,3
1,37,82
2,37,82
0,19,82
1,8,12
1,1,83
0,37,83
0,3,83
0,6,83
0,0,0
1,1,1
9,9,9
13,15,67
0,1,67
8,15,67
0,39,67
1,39,67
3,23,49
3,23,49
12,71,71
11,71,71
8,71,71
16,86,86
14,86,86
25,86,86
12,31,35
10,12,12
2,17,191
3,58,191
2,58,191
2,17,191
2,23,191
8,8,191
8,8,191
2,58,191
2,23,191
8,8,191
18,58,191
7,14,45
12,30,45
10,37,82
10,19,82
10,37,82
2,10,83
10,27,27
6,27,27
9,39,67
9,39,67
10,71,71
12,71,71
24,86,86
34,86,86
30,86,86
14,31,35
9,39,191
18,58,191
7,23,191
8,8,191
8,8,191
7,58,191
4,17,191
7,23,191
6,58,191
4,17,191
9,39,191
4,58,191
8,8,191
7,14,45
12,30,45
0,21,23
1,21,23
0,9,21
0,8,21
0,9,21
0,1,21
1,8,21
0,8,21
4,17,162
4,22,162
4,16,162
4,22,162
4,51,162
4,51,162
4,4,162
4,14,162
4,17,162
39,51,162
4,51,162
10,37,82
10,37,82
10,19,82
4,10,83
3,4,83
9,9,9
9,39,67
9,39,67
10,71,71
12,71,71
25,86,86
10,86,86
12,86,86
14,31,35
2,37,83
19,40,92
20,40,92
39,45,92
39,45,92
22,22,22
20,20,32
11,11,32
13,14,14
20,22,22
19,22,22
20,20,41
20,20,41
22,23,23
20,20,41
20,20,41
22,27,80
19,22,80
21,24,80
22,22,22
19,20,41
19,20,41
19,22,22
9,20,41
19,20,41
19,24,50
19,25,50
9,10,13
10,12,12
19,19,28
22,47,47
20,47,47
22,47,47
20,47,47
3,8,191
3,15,32
1,8,8
9,39,191
4,6,191
9,39,191
1,2,32
1,21,23
0,16,162
1,22,162
1,24,162
4,24,162
42,51,162
0,1,162
4,17,82
4,17,82
2,4,82
1,8,12
8,37,83
1,4,83
9,9,67
6,9,67
3,23,49
3,23,49
12,71,71
8,71,71
11,71,71
16,86,86
25,86,86
14,86,86
12,31,35
4,15,32
9,39,191
9,39,191
4,6,191
4,17,82
4,17,82
0,2,2
2,2,2
2,4,83
2,5,5
2,5,5
3,4,4
2,8,24
2,5,24
2,5,24
2,8,24
2,2,24
5,8,24
2,2,24
2,5,5
2,5,5
2,5,5
2,5,5
7,9,67
9,9,67
0,2,2
2,23,49
2,23,49
11,71,71
12,71,71
8,71,71
14,86,86
25,86,86
16,86,86
19,40,92
39,45,92
39,45,92
20,40,92
22,22,22
20,20,32
11,11,32
13,14,14
20,22,22
0,22,22
20,20,41
20,20,41
22,23,23
20,20,41
20,20,41
22,27,80
19,22,80
21,24,80
22,22,22
19,20,41
19,20,41
19,22,22
9,20,41
19,20,41
19,24,50
19,25,50
9,10,13
10,12,12
19,19,28
22,47,47
20,47,47
22,47,47
20,47,47
39,45,92
19,40,92
20,40,92
39,45,92
22,22,22
20,20,32
20,22,22
19,22,22
20,20,41
20,20,41
22,23,23
20,20,41
20,20,41
22,27,80
21,24,80
19,22,80
22,22,22
19,20,41
19,20,41
19,22,22
9,20,41
19,20,41
19,24,50
19,25,50
19,19,28
20,47,47
22,47,47
22,47,47
20,47,47
5,13,32
39,45,92
20,40,92
39,45,92
19,40,92
22,22,22
20,20,32
20,22,22
19,22,22
20,20,41
20,20,41
22,23,23
20,20,41
20,20,41
21,24,80
22,27,80
19,22,80
22,22,22
19,20,41
19,20,41
19,22,22
9,20,41
19,20,41
19,25,50
19,24,50
19,19,28
20,47,47
22,47,47
22,47,47
20,47,47
19,40,92
39,45,92
39,45,92
20,40,92
22,22,22
20,20,32
20,22,22
19,22,22
20,20,41
20,20,41
22,23,23
20,20,41
20,20,41
22,27,80
21,24,80
19,22,80
22,22,22
19,20,41
19,20,41
19,22,22
19,20,41
9,20,41
19,24,50
19,25,50
19,19,28
22,47,47
20,47,47
22,47,47
20,47,47
39,45,92
20,40,92
39,45,92
19,40,92
22,22,22
20,20,32
11,11,32
13,14,14
20,22,22
19,22,22
20,20,41
20,20,41
22,23,23
20,20,41
20,20,41
22,27,80
21,24,80
19,22,80
22,22,22
19,20,41
19,20,41
19,22,22
9,20,41
19,20,41
19,25,50
19,24,50
0,10,13
10,12,12
19,19,28
22,47,47
20,47,47
22,47,47
20,47,47
5,13,32
5,15,32
20,40,92
39,45,92
39,45,92
19,40,92
22,22,22
11,11,32
20,20,32
13,14,14
20,22,22
19,22,22
20,20,41
20,20,41
22,23,23
20,20,41
20,20,41
19,22,80
21,24,80
22,27,80
22,22,22
19,20,41
19,20,41
19,22,22
0,0,0
9,20,41
19,20,41
19,24,50
19,25,50
9,10,13
10,12,12
19,19,28
20,47,47
22,47,47
22,47,47
20,47,47
18,58,191
6,58,191
4,17,191
9,39,191
7,58,191
4,58,191
8,8,191
8,8,191
2,23,191
2,23,191
