location_count,method_count,file_count
1,18,252
3,28,70
1,3,770
0,0,326
15,15,15
2,82,380
15,43,770
1,45,181
5,5,33
0,2,17
1,28,70
6,15,118
3,3,144
2,4,23
2,4,23
5,12,33
2,9,55
1,45,181
3,22,35
6,17,54
1,1,770
0,7,252
3,3,15
6,12,33
3,67,181
6,7,74
4,4,23
1,3,11
1,3,144
0,7,42
0,0,0
8,9,77
1,1,181
2,2,52
0,0,11
0,4,252
0,12,192
2,10,252
1,82,380
4,4,23
1,3,252
2,3,7
2,13,13
1,1,4
0,1,13
3,14,252
5,12,41
0,22,192
6,10,144
5,5,33
1,1,181
0,3,42
3,18,252
1,1,17
1,1,181
0,0,11
8,11,70
9,67,181
0,0,11
0,0,44
0,1,192
0,0,0
8,9,192
1,3,11
1,18,252
2,13,13
0,0,25
0,2,192
0,0,3
1,5,770
4,4,15
0,1,72
1,4,41
3,67,181
0,6,252
0,1,72
0,12,52
2,4,72
0,11,380
0,8,252
0,12,52
3,18,252
0,11,25
5,5,53
0,0,21
24,43,770
10,45,181
1,18,252
1,3,144
0,3,770
0,1,70
0,0,24
0,12,52
1,12,52
5,19,74
15,43,770
0,0,25
0,23,380
1,4,41
1,9,10
6,67,181
11,45,181
3,7,144
0,14,192
1,2,52
7,11,55
0,22,326
1,6,252
4,4,4
3,5,252
3,28,70
3,45,181
6,12,33
0,1,192
0,0,4
0,6,252
2,8,33
0,2,192
3,5,252
1,67,181
4,4,31
0,28,70
0,10,25
0,1,17
3,19,74
0,0,11
0,0,380
1,8,32
9,67,181
2,7,144
0,12,52
0,0,11
4,4,23
3,26,181
3,28,70
1,6,252
3,22,35
6,10,144
1,11,74
1,45,181
0,0,41
1,3,11
7,24,192
0,10,24
1,5,252
1,18,252
0,2,2
0,12,72
0,1,192
0,1,3
0,0,11
1,3,11
0,4,52
5,5,28
0,13,192
3,8,8
4,4,4
1,67,181
1,5,770
2,6,252
3,5,252
3,3,144
1,14,770
0,10,72
0,19,74
3,19,74
8,8,33
0,6,252
0,0,11
6,6,74
0,2,72
0,0,192
2,14,252
0,10,25
0,1,70
0,0,1
0,0,24
0,0,10
0,0,2
6,8,33
1,82,380
0,11,380
1,1,181
2,13,13
1,5,252
1,2,5
0,67,181
2,28,70
0,24,192
0,0,22
8,21,70
3,26,181
4,4,4
0,0,41
0,1,192
0,11,380
0,20,42
